keyword,time_series,graph
chapter house,"25.0,27.0,29.0,28.0,31.0,35.0,31.0,32.0,35.0,38.0,33.0,37.0,38.0,33.0,23.0,37.0,37.0,33.0,23.0,25.0,31.0,40.0,37.0,41.0,40.0,40.0,39.0,47.0,55.0,100.0,70.0,62.0,51.0,45.0,44.0,59.0,43.0,49.0,43.0,40.0,37.0,28.0,32.0,26.0,28.0,28.0,24.0,22.0,24.0,27.0,23.0,26.0,20.0,33.0,31.0,32.0,29.0,28.0,30.0,34.0,29.0,37.0,36.0,32.0,36.0,42.0,28.0,40.0,40.0,40.0,31.0,18.0,31.0,33.0,37.0,46.0,45.0,41.0,40.0,43.0,42.0,41.0,35.0,37.0,38.0,34.0,34.0,37.0,40.0,45.0,42.0,40.0,24.0,54.0,61.0,48.0,34.0,36.0,32.0,30.0,27.0,33.0,30.0,29.0,28.0,26.0,37.0,27.0,33.0,36.0,34.0,38.0,34.0,41.0,42.0,39.0,39.0,40.0,23.0,39.0,43.0,37.0,26.0,19.0,28.0,32.0,26.0,37.0,36.0,36.0,39.0,38.0,43.0,37.0,34.0,31.0,28.0,30.0,41.0,39.0,40.0,32.0,39.0,32.0,28.0,25.0,24.0,26.0,24.0,16.0,21.0,29.0,20.0,23.0,28.0,23.0,28.0,25.0,25.0,32.0,35.0,35.0,33.0,37.0,35.0,36.0,36.0,41.0,54.0,47.0,33.0,43.0,48.0,40.0,33.0,19.0,28.0,37.0,38.0,40.0,36.0,43.0,41.0,41.0,43.0,36.0,40.0,33.0,42.0,40.0,38.0,39.0,39.0,40.0,41.0,37.0,31.0,26.0,29.0,25.0,25.0,28.0,20.0,27.0,25.0,27.0,31.0,29.0,24.0,32.0,32.0,40.0,53.0,44.0,43.0,43.0,46.0,47.0,42.0,39.0,49.0,40.0,43.0,31.0,38.0,40.0,35.0,24.0,33.0,40.0,43.0,37.0,46.0,44.0,41.0,42.0,48.0,35.0,39.0,31.0,38.0,43.0,41.0,43.0,55.0,46.0,44.0,45.0,40.0,41.0,39.0,33.0,31.0,35.0,32.0,31.0,33.0,30.0,32.0,30.0",
paramecium,"18.0,27.0,28.0,30.0,34.0,48.0,58.0,61.0,86.0,89.0,88.0,93.0,88.0,93.0,74.0,87.0,88.0,91.0,62.0,83.0,80.0,49.0,24.0,26.0,55.0,59.0,63.0,62.0,69.0,76.0,68.0,71.0,86.0,73.0,64.0,50.0,52.0,59.0,63.0,57.0,66.0,63.0,55.0,50.0,44.0,43.0,33.0,32.0,29.0,25.0,20.0,22.0,18.0,19.0,31.0,27.0,30.0,38.0,62.0,54.0,71.0,89.0,83.0,80.0,84.0,83.0,83.0,85.0,78.0,100.0,70.0,82.0,76.0,55.0,26.0,16.0,32.0,50.0,50.0,69.0,79.0,81.0,72.0,70.0,76.0,79.0,60.0,71.0,60.0,51.0,50.0,53.0,51.0,58.0,55.0,54.0,44.0,36.0,35.0,33.0,27.0,23.0,30.0,21.0,29.0,38.0,32.0,33.0,25.0,40.0,45.0,59.0,71.0,77.0,98.0,99.0,82.0,78.0,75.0,77.0,76.0,74.0,73.0,86.0,65.0,66.0,36.0,18.0,22.0,53.0,50.0,65.0,73.0,82.0,79.0,76.0,76.0,68.0,67.0,59.0,60.0,49.0,58.0,65.0,63.0,63.0,54.0,64.0,42.0,32.0,36.0,42.0,33.0,30.0,36.0,34.0,30.0,31.0,38.0,35.0,36.0,48.0,55.0,73.0,78.0,88.0,90.0,97.0,81.0,89.0,91.0,88.0,74.0,85.0,68.0,78.0,75.0,64.0,47.0,22.0,29.0,51.0,63.0,55.0,68.0,80.0,73.0,73.0,78.0,75.0,62.0,69.0,70.0,56.0,64.0,53.0,55.0,58.0,50.0,53.0,55.0,34.0,34.0,44.0,40.0,29.0,33.0,31.0,36.0,31.0,43.0,46.0,39.0,53.0,56.0,63.0,84.0,97.0,92.0,82.0,87.0,75.0,76.0,68.0,86.0,71.0,89.0,67.0,73.0,70.0,42.0,24.0,30.0,47.0,58.0,59.0,63.0,81.0,84.0,70.0,75.0,78.0,74.0,54.0,47.0,57.0,57.0,54.0,54.0,55.0,54.0,48.0,46.0,41.0,44.0,47.0,36.0,38.0,36.0,36.0",
google docs,"50,46,51,52,52,52,57,33,56,59,50,16,11,33,38,36,41,42,42,37,47,49,47,42,36,37,43,43,43,45,47,46,46,40,31,29,21,16,14,13,13,13,13,14,16,20,27,34,38,51,53,56,52,53,56,60,61,54,64,35,63,64,59,31,11,33,50,49,56,58,58,59,53,67,65,55,61,60,60,47,53,64,69,67,61,53,41,38,29,20,17,14,15,16,17,17,19,25,33,43,48,60,65,69,67,65,70,73,71,69,77,41,76,76,71,44,12,28,55,53,65,66,67,66,59,72,70,63,67,54,53,68,67,70,72,70,67,60,46,43,31,24,20,16,17,15,18,19,20,25,36,48,53,68,71,74,73,65,72,75,75,72,72,42,78,81,76,53,10,24,60,63,56,62,69,67,60,70,66,61,62,59,61,63,51,60,71,68,67,57,45,43,34,26,22,18,18,19,20,20,22,30,42,55,59,84,100,90,87,84,78,84,81,83,83,88,49,84,82,61,15,21,57,65,61,73,72,77,72,80,80,71,55,63,71,63,65,69,67,63,59,52,41,39,36,32,30,25,25,26,27,27,28,34,49,65,72,74,87,80",
westerville,"24,23,23,25,26,22,21,18,23,22,25,20,23,23,22,22,23,24,23,23,23,25,25,28,26,23,23,27,27,25,27,26,26,25,25,24,24,26,25,27,26,27,25,27,25,25,25,25,24,25,25,24,22,23,23,23,23,22,21,16,21,21,23,24,20,22,22,22,22,21,23,22,23,24,23,25,24,21,27,25,27,23,25,25,24,27,25,25,26,25,25,31,25,26,23,29,25,26,26,26,24,23,25,25,23,22,21,22,22,23,21,17,22,23,21,20,21,25,24,23,22,24,49,100,28,25,24,23,23,24,24,25,25,24,24,24,25,25,24,27,25,25,24,25,25,24,26,24,26,24,25,24,22,22,22,22,22,23,22,23,26,21,20,17,21,21,21,21,18,21,22,21,23,22,21,22,21,23,23,24,24,22,23,25,24,23,22,25,22,24,23,24,26,22,24,27,24,23,23,24,24,26,24,25,20,26,23,23,23,22,29,26,23,23,21,20,17,20,21,21,19,19,21,21,22,21,21,21,22,23,21,23,18,16,16,16,17,16,19,20,20,22,23,21,21,21,21,21,21,22,21,23,21,21,22,22,21,21,24,22",
article,"23.0,24.0,27.0,30.0,33.0,33.0,34.0,36.0,34.0,34.0,33.0,34.0,32.0,36.0,29.0,33.0,32.0,27.0,17.0,18.0,28.0,30.0,31.0,32.0,33.0,33.0,33.0,36.0,35.0,35.0,33.0,30.0,31.0,32.0,33.0,32.0,33.0,31.0,32.0,28.0,30.0,27.0,25.0,25.0,31.0,30.0,24.0,23.0,23.0,23.0,22.0,22.0,21.0,25.0,27.0,30.0,32.0,35.0,36.0,35.0,36.0,35.0,34.0,35.0,35.0,36.0,30.0,35.0,34.0,30.0,22.0,17.0,26.0,29.0,31.0,32.0,34.0,35.0,33.0,34.0,36.0,36.0,34.0,35.0,36.0,31.0,30.0,30.0,31.0,32.0,30.0,28.0,25.0,25.0,25.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,22.0,23.0,22.0,25.0,26.0,28.0,32.0,34.0,33.0,34.0,35.0,35.0,33.0,32.0,34.0,35.0,29.0,34.0,33.0,31.0,24.0,16.0,21.0,28.0,29.0,30.0,32.0,32.0,32.0,33.0,31.0,32.0,31.0,30.0,28.0,28.0,30.0,30.0,30.0,28.0,27.0,28.0,26.0,26.0,26.0,25.0,25.0,24.0,23.0,23.0,24.0,22.0,23.0,24.0,22.0,24.0,27.0,32.0,39.0,35.0,35.0,34.0,34.0,34.0,34.0,32.0,32.0,35.0,32.0,39.0,37.0,32.0,26.0,18.0,20.0,30.0,32.0,32.0,31.0,32.0,33.0,37.0,38.0,35.0,33.0,58.0,75.0,38.0,32.0,28.0,28.0,28.0,28.0,28.0,28.0,30.0,29.0,27.0,27.0,40.0,44.0,33.0,28.0,27.0,28.0,100.0,32.0,32.0,35.0,34.0,44.0,40.0,38.0,36.0,36.0,36.0,33.0,30.0,36.0,36.0,37.0,32.0,33.0,34.0,32.0,19.0,21.0,30.0,31.0,32.0,34.0,34.0,33.0,34.0,37.0,35.0,32.0,28.0,30.0,31.0,29.0,31.0,32.0,31.0,30.0,31.0,28.0,27.0,28.0,28.0,26.0,25.0,24.0,24.0,24.0,24.0,23.0,23.0",
pediatrics,"85.0,90.0,84.0,75.0,77.0,74.0,73.0,75.0,75.0,73.0,72.0,79.0,73.0,73.0,51.0,71.0,70.0,69.0,52.0,62.0,76.0,71.0,68.0,70.0,74.0,74.0,70.0,73.0,75.0,76.0,72.0,71.0,68.0,72.0,70.0,69.0,68.0,71.0,71.0,69.0,68.0,64.0,70.0,68.0,64.0,65.0,60.0,71.0,72.0,77.0,84.0,87.0,85.0,85.0,84.0,80.0,80.0,75.0,74.0,70.0,73.0,74.0,74.0,71.0,72.0,73.0,53.0,73.0,71.0,72.0,64.0,63.0,78.0,77.0,75.0,77.0,80.0,78.0,76.0,77.0,79.0,78.0,74.0,77.0,77.0,76.0,71.0,72.0,75.0,76.0,72.0,73.0,72.0,71.0,73.0,76.0,73.0,70.0,66.0,79.0,80.0,84.0,89.0,98.0,92.0,89.0,91.0,82.0,81.0,81.0,82.0,80.0,77.0,81.0,79.0,81.0,82.0,82.0,60.0,82.0,79.0,80.0,75.0,65.0,78.0,88.0,83.0,92.0,95.0,95.0,86.0,81.0,82.0,81.0,76.0,79.0,76.0,77.0,77.0,78.0,76.0,76.0,76.0,76.0,74.0,73.0,78.0,73.0,73.0,71.0,64.0,80.0,79.0,81.0,92.0,91.0,93.0,87.0,88.0,80.0,80.0,79.0,79.0,78.0,75.0,80.0,77.0,76.0,78.0,77.0,56.0,76.0,73.0,76.0,73.0,57.0,73.0,77.0,80.0,76.0,83.0,89.0,82.0,82.0,84.0,86.0,84.0,84.0,81.0,80.0,83.0,76.0,77.0,79.0,78.0,77.0,73.0,72.0,79.0,77.0,74.0,73.0,63.0,81.0,79.0,85.0,89.0,96.0,100.0,94.0,90.0,85.0,87.0,85.0,84.0,84.0,82.0,79.0,82.0,78.0,87.0,82.0,84.0,62.0,81.0,77.0,81.0,63.0,74.0,87.0,86.0,83.0,85.0,90.0,84.0,82.0,81.0,84.0,79.0,62.0,49.0,46.0,43.0,44.0,46.0,46.0,50.0,52.0,55.0,54.0,59.0,62.0,62.0,66.0,67.0,76.0,75.0,71.0,74.0,77.0",
omegle today,"13,0,0,0,0,14,0,0,0,0,0,0,0,0,0,13,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,13,0,0,0,14,12,15,17,12,0,0,0,0,0,11,21,12,0,12,15,12,13,0,19,12,13,0,15,18,12,0,13,21,16,11,14,17,22,38,41,24,19,19,16,23,28,17,13,11,22,29,19,18,18,26,31,30,28,28,30,26,26,22,26,25,30,32,24,25,18,30,14,19,16,16,20,23,19,25,24,30,33,18,31,23,25,30,21,30,26,20,27,37,42,42,37,23,26,21,28,32,31,24,30,33,39,36,60,50,48,40,53,55,49,39,29,34,49,44,31,46,37,43,37,55,38,36,34,49,33,38,39,39,46,31,58,60,58,43,53,63,52,43,44,61,60,54,60,49,43,52,44,53,37,46,33,49,56,85,85,72,84,95,93,80,91,69,54,57,57,66,64,49,50,32,45,42,37,47,41,37,56,42,47,55,50,45,50,57,100,40,33,21,18,13,15,19,22,13,15,19,10,16,17,0,0,13,0,17,14,15,25,14,16,20,19,15",
explosion,"3,3,2,2,3,7,4,3,3,2,2,2,2,2,4,2,3,3,3,3,3,2,3,3,8,5,3,3,4,3,3,3,2,2,2,2,3,2,6,4,2,2,3,2,3,2,2,5,3,4,14,3,3,3,5,3,4,3,3,3,3,3,3,5,3,2,3,3,3,3,4,3,3,2,2,3,3,3,4,6,3,3,3,3,2,12,3,3,3,3,3,3,2,2,2,3,2,3,2,3,3,6,3,3,3,2,3,2,2,2,2,3,3,3,8,2,2,2,2,3,3,2,2,3,3,4,3,3,3,2,2,2,3,3,4,2,3,3,2,3,2,2,3,3,3,3,3,2,4,2,2,3,2,4,2,2,3,3,2,2,2,3,2,2,2,3,2,4,5,2,4,6,6,3,3,2,2,2,2,2,3,3,3,3,2,3,3,3,2,4,3,3,2,3,3,4,3,3,2,3,3,4,3,3,2,2,3,3,2,2,2,2,2,2,2,2,4,3,2,2,2,2,2,4,5,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,100,13,4,3,3,3,3,3",
booger,"23.0,22.0,22.0,23.0,25.0,24.0,22.0,20.0,26.0,28.0,24.0,24.0,26.0,26.0,28.0,30.0,27.0,25.0,28.0,37.0,25.0,24.0,24.0,26.0,22.0,21.0,23.0,24.0,100.0,80.0,41.0,33.0,28.0,25.0,24.0,23.0,25.0,25.0,23.0,21.0,23.0,21.0,19.0,26.0,23.0,24.0,22.0,19.0,24.0,21.0,21.0,20.0,24.0,25.0,27.0,28.0,55.0,29.0,28.0,24.0,30.0,29.0,25.0,25.0,28.0,30.0,25.0,30.0,29.0,24.0,26.0,42.0,49.0,33.0,24.0,24.0,25.0,24.0,24.0,21.0,23.0,22.0,24.0,22.0,21.0,22.0,29.0,26.0,28.0,33.0,26.0,21.0,21.0,28.0,26.0,20.0,20.0,19.0,21.0,21.0,21.0,20.0,22.0,26.0,23.0,21.0,25.0,34.0,26.0,30.0,23.0,30.0,28.0,25.0,23.0,25.0,25.0,29.0,31.0,29.0,29.0,22.0,25.0,37.0,36.0,28.0,21.0,20.0,21.0,21.0,20.0,21.0,20.0,19.0,20.0,19.0,20.0,24.0,22.0,20.0,19.0,19.0,26.0,19.0,19.0,21.0,18.0,18.0,21.0,20.0,17.0,19.0,18.0,18.0,19.0,18.0,28.0,27.0,21.0,21.0,31.0,30.0,50.0,41.0,30.0,35.0,53.0,44.0,34.0,40.0,46.0,32.0,34.0,29.0,35.0,36.0,69.0,33.0,24.0,21.0,29.0,24.0,23.0,22.0,22.0,24.0,21.0,21.0,20.0,20.0,20.0,20.0,27.0,23.0,19.0,22.0,19.0,17.0,18.0,22.0,20.0,19.0,16.0,17.0,16.0,20.0,18.0,17.0,19.0,23.0,16.0,18.0,38.0,37.0,43.0,41.0,38.0,56.0,37.0,35.0,33.0,52.0,38.0,42.0,48.0,53.0,44.0,65.0,78.0,88.0,55.0,29.0,30.0,31.0,28.0,28.0,26.0,26.0,25.0,22.0,24.0,24.0,23.0,24.0,49.0,25.0,26.0,35.0,21.0,21.0,24.0,20.0,19.0,17.0,19.0,17.0,18.0,21.0,21.0,19.0",
skeletal muscle,"22.0,28.0,33.0,43.0,58.0,65.0,68.0,85.0,84.0,95.0,83.0,93.0,79.0,82.0,50.0,72.0,78.0,62.0,19.0,17.0,43.0,54.0,54.0,55.0,67.0,64.0,68.0,74.0,77.0,76.0,65.0,65.0,62.0,67.0,66.0,58.0,66.0,64.0,56.0,49.0,40.0,36.0,37.0,40.0,35.0,32.0,32.0,30.0,27.0,26.0,25.0,23.0,21.0,31.0,36.0,42.0,54.0,68.0,73.0,77.0,86.0,84.0,97.0,91.0,88.0,89.0,51.0,78.0,85.0,64.0,37.0,16.0,35.0,50.0,52.0,59.0,68.0,67.0,77.0,75.0,80.0,72.0,66.0,74.0,81.0,76.0,61.0,63.0,63.0,59.0,58.0,52.0,47.0,33.0,37.0,37.0,33.0,28.0,31.0,31.0,30.0,25.0,27.0,26.0,26.0,31.0,35.0,42.0,58.0,66.0,77.0,81.0,84.0,94.0,96.0,100.0,89.0,88.0,50.0,86.0,88.0,73.0,40.0,16.0,30.0,48.0,49.0,54.0,67.0,58.0,72.0,68.0,84.0,74.0,68.0,72.0,66.0,60.0,72.0,62.0,71.0,56.0,53.0,52.0,47.0,35.0,41.0,37.0,39.0,34.0,30.0,34.0,31.0,31.0,31.0,31.0,27.0,34.0,40.0,47.0,63.0,71.0,78.0,90.0,83.0,92.0,89.0,90.0,87.0,88.0,55.0,80.0,80.0,69.0,49.0,17.0,29.0,53.0,56.0,57.0,64.0,68.0,68.0,66.0,85.0,71.0,64.0,73.0,77.0,70.0,67.0,59.0,54.0,56.0,52.0,48.0,40.0,37.0,39.0,40.0,33.0,36.0,31.0,38.0,31.0,31.0,31.0,26.0,25.0,35.0,44.0,46.0,61.0,68.0,79.0,85.0,80.0,83.0,89.0,85.0,87.0,79.0,87.0,52.0,71.0,71.0,48.0,19.0,25.0,48.0,57.0,53.0,63.0,65.0,73.0,72.0,81.0,72.0,68.0,46.0,68.0,81.0,81.0,74.0,73.0,72.0,72.0,62.0,52.0,46.0,51.0,52.0,52.0,50.0,47.0,42.0,46.0,44.0,38.0,36.0",
blazing,"19.0,16.0,16.0,17.0,17.0,17.0,18.0,17.0,20.0,18.0,17.0,18.0,18.0,18.0,17.0,19.0,17.0,17.0,21.0,21.0,18.0,17.0,17.0,19.0,18.0,18.0,19.0,18.0,18.0,18.0,20.0,19.0,17.0,16.0,16.0,18.0,17.0,17.0,18.0,19.0,17.0,19.0,16.0,17.0,18.0,18.0,18.0,18.0,19.0,18.0,19.0,17.0,20.0,25.0,100.0,44.0,32.0,27.0,25.0,25.0,22.0,24.0,23.0,23.0,20.0,22.0,24.0,22.0,23.0,23.0,28.0,27.0,27.0,23.0,21.0,22.0,26.0,25.0,23.0,24.0,28.0,31.0,30.0,27.0,28.0,27.0,28.0,26.0,24.0,24.0,24.0,22.0,23.0,23.0,42.0,33.0,27.0,29.0,29.0,25.0,27.0,25.0,26.0,26.0,28.0,29.0,31.0,28.0,26.0,26.0,28.0,26.0,26.0,24.0,26.0,23.0,27.0,26.0,25.0,23.0,24.0,24.0,25.0,28.0,23.0,20.0,20.0,21.0,22.0,22.0,21.0,21.0,20.0,21.0,23.0,20.0,20.0,19.0,23.0,23.0,21.0,20.0,21.0,20.0,19.0,20.0,19.0,21.0,22.0,18.0,19.0,21.0,20.0,21.0,21.0,23.0,24.0,28.0,26.0,24.0,24.0,20.0,20.0,22.0,24.0,23.0,22.0,22.0,20.0,21.0,20.0,21.0,20.0,20.0,20.0,22.0,22.0,20.0,18.0,17.0,20.0,20.0,18.0,21.0,18.0,18.0,17.0,21.0,26.0,22.0,19.0,20.0,22.0,19.0,17.0,21.0,20.0,20.0,19.0,21.0,23.0,21.0,19.0,22.0,21.0,22.0,20.0,23.0,21.0,22.0,20.0,18.0,19.0,19.0,20.0,20.0,20.0,20.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0,18.0,22.0,21.0,17.0,18.0,17.0,17.0,16.0,17.0,16.0,16.0,16.0,16.0,18.0,19.0,19.0,20.0,22.0,22.0,20.0,20.0,21.0,23.0,25.0,21.0,24.0,23.0,22.0,24.0,22.0,22.0,20.0,21.0,23.0",
walmart,"41,42,42,45,45,53,55,96,66,59,63,89,55,39,37,37,35,35,37,36,36,36,36,37,38,39,37,37,38,37,40,39,40,41,44,43,44,44,45,46,45,45,44,45,42,42,41,42,43,40,40,40,41,41,41,43,43,48,57,95,62,58,59,74,68,47,40,40,39,41,39,39,42,43,42,41,40,41,41,44,44,41,44,43,44,45,47,46,50,48,49,51,47,48,48,50,49,51,49,46,47,44,43,45,44,44,45,47,49,54,59,99,66,60,64,71,78,54,44,42,40,41,40,41,43,43,42,41,41,45,50,44,44,43,46,48,45,46,49,47,47,46,47,52,48,49,49,49,49,48,47,45,46,43,42,42,44,44,45,44,47,51,59,100,67,60,62,69,85,55,44,43,42,42,42,42,45,45,45,44,44,44,44,45,48,49,46,46,46,48,50,49,47,48,49,54,50,53,50,54,57,52,50,47,49,45,46,44,45,44,45,48,48,50,59,60,97,66,61,65,88,56,42,41,41,40,40,42,42,43,44,49,66,65,70,73,72,69,70,70,66,69,67,68,64,63,60,64,60,59,56,57,56,54,54,51,52,51,49,47",
wind vane,"24.0,28.0,23.0,37.0,38.0,29.0,57.0,40.0,51.0,63.0,51.0,49.0,68.0,68.0,59.0,78.0,60.0,51.0,26.0,54.0,49.0,33.0,22.0,32.0,55.0,59.0,57.0,74.0,90.0,77.0,96.0,81.0,72.0,65.0,45.0,21.0,52.0,45.0,61.0,50.0,48.0,43.0,44.0,35.0,42.0,51.0,47.0,31.0,29.0,27.0,21.0,22.0,27.0,22.0,20.0,24.0,40.0,33.0,39.0,29.0,44.0,35.0,49.0,47.0,38.0,57.0,46.0,53.0,31.0,52.0,28.0,56.0,40.0,45.0,18.0,27.0,40.0,51.0,66.0,57.0,50.0,76.0,82.0,99.0,78.0,71.0,60.0,55.0,26.0,41.0,35.0,45.0,44.0,43.0,57.0,52.0,29.0,39.0,34.0,39.0,30.0,39.0,33.0,27.0,26.0,37.0,24.0,21.0,26.0,31.0,26.0,40.0,41.0,42.0,45.0,42.0,47.0,50.0,41.0,45.0,49.0,51.0,28.0,49.0,39.0,58.0,35.0,26.0,40.0,49.0,49.0,54.0,74.0,97.0,87.0,100.0,77.0,62.0,64.0,41.0,40.0,29.0,45.0,38.0,66.0,50.0,48.0,57.0,43.0,49.0,57.0,36.0,37.0,29.0,32.0,26.0,29.0,28.0,32.0,24.0,29.0,28.0,43.0,34.0,34.0,36.0,47.0,52.0,43.0,54.0,54.0,40.0,49.0,45.0,36.0,49.0,42.0,100.0,42.0,16.0,23.0,58.0,49.0,60.0,60.0,88.0,93.0,99.0,78.0,82.0,71.0,47.0,47.0,50.0,43.0,38.0,49.0,53.0,63.0,78.0,46.0,44.0,44.0,40.0,30.0,32.0,32.0,39.0,30.0,33.0,31.0,35.0,23.0,25.0,23.0,41.0,45.0,46.0,46.0,61.0,52.0,56.0,38.0,50.0,47.0,51.0,46.0,45.0,43.0,38.0,43.0,32.0,30.0,45.0,49.0,57.0,64.0,92.0,83.0,78.0,80.0,69.0,51.0,43.0,52.0,38.0,34.0,44.0,62.0,52.0,47.0,56.0,60.0,40.0,52.0,46.0,44.0,37.0,31.0,37.0",
nightshirt,"23.0,32.0,22.0,42.0,25.0,25.0,31.0,35.0,38.0,36.0,41.0,50.0,31.0,54.0,47.0,55.0,100.0,66.0,61.0,47.0,34.0,40.0,37.0,23.0,34.0,32.0,26.0,25.0,38.0,24.0,36.0,30.0,25.0,34.0,35.0,26.0,21.0,35.0,22.0,28.0,38.0,34.0,32.0,30.0,42.0,36.0,40.0,36.0,29.0,30.0,33.0,33.0,22.0,20.0,26.0,16.0,25.0,46.0,34.0,42.0,32.0,37.0,37.0,49.0,51.0,74.0,73.0,81.0,90.0,73.0,55.0,59.0,47.0,30.0,34.0,30.0,19.0,33.0,30.0,33.0,25.0,23.0,24.0,32.0,28.0,23.0,28.0,36.0,24.0,20.0,27.0,21.0,45.0,31.0,26.0,27.0,34.0,22.0,19.0,38.0,31.0,28.0,33.0,28.0,30.0,27.0,32.0,41.0,37.0,34.0,29.0,37.0,34.0,39.0,39.0,45.0,63.0,67.0,67.0,83.0,77.0,74.0,64.0,45.0,56.0,29.0,28.0,33.0,33.0,28.0,29.0,31.0,28.0,25.0,28.0,28.0,35.0,31.0,37.0,27.0,30.0,26.0,34.0,17.0,36.0,33.0,27.0,16.0,39.0,22.0,27.0,20.0,30.0,32.0,33.0,42.0,35.0,34.0,28.0,23.0,38.0,31.0,32.0,46.0,46.0,44.0,30.0,61.0,54.0,68.0,38.0,82.0,70.0,77.0,57.0,45.0,52.0,30.0,43.0,32.0,24.0,28.0,34.0,34.0,29.0,42.0,29.0,28.0,24.0,32.0,32.0,26.0,37.0,35.0,25.0,26.0,28.0,47.0,22.0,29.0,32.0,23.0,21.0,38.0,25.0,37.0,43.0,29.0,40.0,33.0,24.0,26.0,34.0,24.0,31.0,30.0,30.0,25.0,31.0,39.0,63.0,67.0,58.0,64.0,66.0,75.0,60.0,45.0,36.0,30.0,34.0,36.0,37.0,28.0,33.0,41.0,29.0,23.0,25.0,20.0,25.0,23.0,31.0,39.0,34.0,51.0,44.0,45.0,42.0,55.0,39.0,46.0,37.0,45.0,32.0,33.0,30.0,41.0,34.0,32.0",
starboard,"90.0,74.0,77.0,81.0,71.0,73.0,70.0,65.0,61.0,61.0,60.0,60.0,58.0,57.0,55.0,59.0,58.0,55.0,53.0,52.0,68.0,58.0,62.0,61.0,59.0,56.0,64.0,56.0,63.0,59.0,55.0,78.0,72.0,73.0,74.0,73.0,71.0,70.0,78.0,73.0,83.0,90.0,69.0,74.0,76.0,79.0,71.0,74.0,77.0,80.0,92.0,79.0,77.0,77.0,85.0,69.0,76.0,66.0,59.0,65.0,64.0,54.0,53.0,54.0,51.0,50.0,52.0,57.0,48.0,51.0,49.0,49.0,53.0,57.0,52.0,53.0,56.0,62.0,62.0,57.0,67.0,63.0,64.0,58.0,55.0,70.0,58.0,63.0,76.0,66.0,63.0,63.0,66.0,76.0,68.0,82.0,96.0,82.0,83.0,77.0,80.0,79.0,77.0,86.0,77.0,86.0,71.0,67.0,68.0,62.0,62.0,64.0,53.0,61.0,62.0,56.0,54.0,43.0,53.0,50.0,52.0,48.0,47.0,48.0,49.0,54.0,51.0,58.0,56.0,64.0,59.0,55.0,56.0,59.0,57.0,84.0,96.0,65.0,61.0,63.0,63.0,64.0,71.0,66.0,77.0,75.0,75.0,67.0,73.0,73.0,79.0,76.0,78.0,90.0,87.0,77.0,85.0,78.0,68.0,68.0,60.0,63.0,67.0,59.0,61.0,62.0,58.0,50.0,55.0,45.0,46.0,52.0,44.0,53.0,53.0,48.0,52.0,57.0,60.0,55.0,60.0,63.0,56.0,55.0,55.0,58.0,56.0,62.0,67.0,60.0,64.0,57.0,64.0,69.0,69.0,69.0,71.0,75.0,71.0,79.0,81.0,75.0,75.0,83.0,80.0,82.0,86.0,81.0,83.0,84.0,78.0,81.0,74.0,69.0,55.0,62.0,55.0,61.0,59.0,60.0,57.0,51.0,51.0,51.0,47.0,48.0,52.0,49.0,54.0,52.0,52.0,54.0,62.0,59.0,56.0,56.0,55.0,58.0,52.0,46.0,47.0,48.0,55.0,60.0,63.0,70.0,75.0,75.0,83.0,87.0,91.0,89.0,93.0,96.0,95.0,100.0,94.0,89.0,93.0,90.0",
